QSPRID	pchembl_value_Median_class_Label	pchembl_value_Median_class_Prediction	pchembl_value_Median_class_ProbabilityClass_0	pchembl_value_Median_class_ProbabilityClass_1	Fold
QSPRID_0514	False	1	0.355	0.645	0.0
QSPRID_0515	True	1	0.276	0.724	1.0
QSPRID_0515	True	1	0.434	0.566	0.0
QSPRID_0516	False	0	0.855	0.145	0.0
QSPRID_0517	True	1	0.329	0.671	0.0
QSPRID_0518	True	1	0.342	0.658	0.0
QSPRID_0519	True	1	0.25	0.75	0.0
QSPRID_0519	True	1	0.461	0.539	1.0
QSPRID_0520	True	0	0.618	0.382	1.0
QSPRID_0520	True	1	0.461	0.539	0.0
QSPRID_0521	True	1	0.447	0.553	0.0
QSPRID_0521	True	1	0.342	0.658	1.0
QSPRID_0522	True	1	0.329	0.671	0.0
QSPRID_0522	True	1	0.197	0.803	1.0
QSPRID_0523	False	1	0.263	0.737	0.0
QSPRID_0524	False	1	0.145	0.855	0.0
QSPRID_0525	False	0	0.579	0.421	0.0
QSPRID_0526	True	0	0.5	0.5	1.0
QSPRID_0526	True	0	0.513	0.487	0.0
QSPRID_0528	True	1	0.276	0.724	1.0
QSPRID_0528	True	1	0.355	0.645	0.0
QSPRID_0529	False	1	0.474	0.526	0.0
QSPRID_0530	True	0	0.579	0.421	0.0
QSPRID_0531	False	1	0.132	0.868	1.0
QSPRID_0531	False	1	0.316	0.684	0.0
QSPRID_0532	True	1	0.368	0.632	0.0
QSPRID_0532	True	1	0.184	0.816	1.0
QSPRID_0533	False	1	0.408	0.592	0.0
QSPRID_0533	False	0	0.816	0.184	1.0
QSPRID_0535	False	0	0.671	0.329	0.0
QSPRID_0536	True	1	0.316	0.684	0.0
QSPRID_0536	True	1	0.25	0.75	1.0
QSPRID_0537	False	0	0.618	0.382	1.0
QSPRID_0537	False	1	0.316	0.684	0.0
QSPRID_0539	True	1	0.053	0.947	0.0
QSPRID_0540	False	1	0.211	0.789	0.0
QSPRID_0541	True	1	0.211	0.789	0.0
QSPRID_0542	True	1	0.368	0.632	0.0
QSPRID_0543	False	1	0.434	0.566	0.0
QSPRID_0545	False	1	0.461	0.539	0.0
QSPRID_0546	False	1	0.263	0.737	0.0
QSPRID_0547	True	0	0.513	0.487	0.0
QSPRID_0547	True	1	0.25	0.75	1.0
QSPRID_0548	True	1	0.316	0.684	0.0
QSPRID_0549	True	1	0.224	0.776	1.0
QSPRID_0549	True	1	0.263	0.737	0.0
QSPRID_0550	True	1	0.276	0.724	1.0
QSPRID_0550	True	1	0.421	0.579	0.0
QSPRID_0552	True	0	0.658	0.342	1.0
QSPRID_0552	True	0	0.776	0.224	0.0
QSPRID_0553	False	1	0.211	0.789	1.0
QSPRID_0553	False	1	0.276	0.724	0.0
QSPRID_0553	False	0	0.645	0.355	2.0
QSPRID_0556	False	1	0.158	0.842	1.0
QSPRID_0556	False	1	0.342	0.658	0.0
QSPRID_0557	True	0	0.579	0.421	0.0
QSPRID_0558	True	1	0.408	0.592	1.0
QSPRID_0558	True	1	0.276	0.724	0.0
QSPRID_0559	False	1	0.263	0.737	0.0
QSPRID_0560	True	1	0.237	0.763	0.0
QSPRID_0562	True	0	0.737	0.263	0.0
QSPRID_0563	False	0	0.684	0.316	0.0
QSPRID_0565	True	1	0.434	0.566	1.0
QSPRID_0565	True	1	0.447	0.553	0.0
QSPRID_0566	False	0	0.526	0.474	0.0
QSPRID_0566	False	0	0.605	0.395	1.0
QSPRID_0569	True	1	0.237	0.763	0.0
QSPRID_0570	False	0	0.684	0.316	0.0
QSPRID_0571	False	1	0.447	0.553	0.0
QSPRID_0571	False	0	0.724	0.276	1.0
QSPRID_0572	True	1	0.382	0.618	0.0
QSPRID_0572	True	0	0.539	0.461	1.0
QSPRID_0574	False	0	0.539	0.461	0.0
QSPRID_0574	False	1	0.355	0.645	1.0
QSPRID_0575	False	1	0.276	0.724	0.0
QSPRID_0577	True	1	0.145	0.855	1.0
QSPRID_0577	True	1	0.211	0.789	0.0
QSPRID_0578	True	1	0.289	0.711	0.0
QSPRID_0579	True	0	0.513	0.487	1.0
QSPRID_0579	True	1	0.237	0.763	0.0
QSPRID_0580	False	0	0.5	0.5	1.0
QSPRID_0580	False	1	0.237	0.763	0.0
QSPRID_0581	True	1	0.421	0.579	0.0
QSPRID_0582	True	1	0.421	0.579	0.0
QSPRID_0582	True	1	0.395	0.605	1.0
QSPRID_0583	True	0	0.711	0.289	0.0
QSPRID_0584	False	1	0.25	0.75	1.0
QSPRID_0584	False	1	0.355	0.645	0.0
QSPRID_0585	True	1	0.474	0.526	0.0
QSPRID_0585	True	0	0.592	0.408	1.0
QSPRID_0586	False	1	0.382	0.618	0.0
QSPRID_0586	False	0	0.526	0.474	1.0
QSPRID_0587	False	0	0.579	0.421	0.0
QSPRID_0588	False	1	0.487	0.513	1.0
QSPRID_0588	False	1	0.382	0.618	0.0
QSPRID_0589	True	1	0.382	0.618	0.0
QSPRID_0590	True	1	0.355	0.645	0.0
QSPRID_0591	True	1	0.303	0.697	0.0
QSPRID_0591	True	1	0.461	0.539	1.0
QSPRID_0592	True	1	0.395	0.605	0.0
QSPRID_0593	False	0	0.579	0.421	0.0
QSPRID_0595	True	1	0.158	0.842	1.0
QSPRID_0595	True	1	0.289	0.711	0.0
QSPRID_0597	False	1	0.237	0.763	1.0
QSPRID_0597	False	1	0.289	0.711	0.0
QSPRID_0600	False	1	0.487	0.513	0.0
QSPRID_0601	True	1	0.342	0.658	0.0
QSPRID_0602	True	1	0.355	0.645	0.0
QSPRID_0603	False	0	0.566	0.434	1.0
QSPRID_0603	False	1	0.342	0.658	0.0
QSPRID_0604	True	1	0.276	0.724	0.0
QSPRID_0606	False	1	0.276	0.724	0.0
QSPRID_0607	True	0	0.5	0.5	0.0
QSPRID_0608	True	1	0.382	0.618	0.0
QSPRID_0609	True	0	0.553	0.447	0.0
QSPRID_0610	True	1	0.421	0.579	0.0
QSPRID_0611	True	0	0.605	0.395	0.0
QSPRID_0612	True	1	0.474	0.526	0.0
QSPRID_0613	False	0	0.75	0.25	1.0
QSPRID_0613	False	0	0.711	0.289	0.0
QSPRID_0614	True	1	0.013	0.987	0.0
QSPRID_0614	True	1	0.039	0.961	1.0
QSPRID_0615	True	1	0.447	0.553	0.0
QSPRID_0615	True	1	0.447	0.553	1.0
QSPRID_0616	False	1	0.197	0.803	0.0
QSPRID_0617	True	1	0.342	0.658	0.0
QSPRID_0617	True	1	0.039	0.961	1.0
QSPRID_0618	False	1	0.25	0.75	1.0
QSPRID_0618	False	1	0.25	0.75	0.0
QSPRID_0619	True	1	0.395	0.605	0.0
QSPRID_0619	True	1	0.408	0.592	1.0
QSPRID_0620	True	1	0.066	0.934	1.0
QSPRID_0620	True	1	0.184	0.816	0.0
QSPRID_0621	True	0	0.684	0.316	1.0
QSPRID_0621	True	0	0.618	0.382	0.0
QSPRID_0622	True	0	0.658	0.342	0.0
QSPRID_0623	True	1	0.026	0.974	0.0
QSPRID_0624	True	1	0.342	0.658	0.0
QSPRID_0625	True	1	0.342	0.658	0.0
QSPRID_0625	True	1	0.382	0.618	1.0
QSPRID_0626	True	0	0.5	0.5	0.0
QSPRID_0626	True	0	0.526	0.474	1.0
QSPRID_0627	True	1	0.092	0.908	1.0
QSPRID_0627	True	1	0.25	0.75	0.0
QSPRID_0628	True	1	0.447	0.553	0.0
QSPRID_0629	False	0	0.697	0.303	0.0
QSPRID_0630	True	1	0.329	0.671	0.0
QSPRID_0631	False	0	0.645	0.355	0.0
QSPRID_0631	False	0	0.592	0.408	1.0
QSPRID_0632	False	0	0.5	0.5	0.0
QSPRID_0633	True	1	0.145	0.855	1.0
QSPRID_0633	True	1	0.447	0.553	0.0
QSPRID_0634	True	1	0.092	0.908	0.0
QSPRID_0635	True	1	0.184	0.816	1.0
QSPRID_0635	True	1	0.263	0.737	0.0
QSPRID_0636	False	1	0.171	0.829	0.0
QSPRID_0637	True	1	0.382	0.618	0.0
QSPRID_0637	True	0	0.5	0.5	1.0
QSPRID_0638	False	0	0.974	0.026	1.0
QSPRID_0638	False	0	0.579	0.421	0.0
QSPRID_0640	False	0	0.5	0.5	1.0
QSPRID_0640	False	0	0.671	0.329	0.0
QSPRID_0641	False	1	0.263	0.737	0.0
QSPRID_0643	True	1	0.092	0.908	0.0
QSPRID_0644	True	1	0.158	0.842	0.0
QSPRID_0645	True	1	0.368	0.632	1.0
QSPRID_0645	True	0	0.5	0.5	0.0
QSPRID_0646	False	1	0.408	0.592	0.0
QSPRID_0646	False	1	0.329	0.671	1.0
QSPRID_0647	True	1	0.145	0.855	1.0
QSPRID_0647	True	1	0.276	0.724	0.0
QSPRID_0648	True	1	0.329	0.671	0.0
QSPRID_0648	True	1	0.132	0.868	1.0
QSPRID_0649	True	1	0.079	0.921	0.0
QSPRID_0650	False	1	0.197	0.803	1.0
QSPRID_0650	False	1	0.382	0.618	0.0
QSPRID_0651	True	1	0.421	0.579	0.0
QSPRID_0652	False	1	0.461	0.539	1.0
QSPRID_0652	False	1	0.329	0.671	0.0
QSPRID_0653	False	1	0.25	0.75	0.0
QSPRID_0656	True	1	0.303	0.697	0.0
QSPRID_0658	True	1	0.316	0.684	0.0
QSPRID_0659	False	1	0.421	0.579	1.0
QSPRID_0659	False	1	0.474	0.526	0.0
QSPRID_0660	True	1	0.355	0.645	0.0
QSPRID_0661	True	1	0.263	0.737	0.0
QSPRID_0661	True	1	0.329	0.671	1.0
QSPRID_0662	False	1	0.316	0.684	0.0
QSPRID_0663	True	1	0.395	0.605	0.0
QSPRID_0664	True	1	0.092	0.908	0.0
QSPRID_0665	True	1	0.105	0.895	0.0
QSPRID_0666	True	0	0.816	0.184	1.0
QSPRID_0666	True	0	0.632	0.368	0.0
QSPRID_0667	True	1	0.289	0.711	0.0
QSPRID_0668	True	1	0.382	0.618	1.0
QSPRID_0668	True	0	0.5	0.5	0.0
QSPRID_0669	False	1	0.368	0.632	0.0
QSPRID_0671	False	1	0.434	0.566	0.0
QSPRID_0672	False	0	0.526	0.474	1.0
QSPRID_0672	False	1	0.303	0.697	0.0
QSPRID_0673	True	1	0.447	0.553	0.0
QSPRID_0674	True	1	0.026	0.974	1.0
QSPRID_0674	True	1	0.053	0.947	0.0
QSPRID_0675	True	1	0.447	0.553	0.0
QSPRID_0677	True	0	0.539	0.461	0.0
QSPRID_0678	True	1	0.211	0.789	0.0
QSPRID_0678	True	1	0.092	0.908	1.0
QSPRID_0679	True	1	0.434	0.566	0.0
QSPRID_0679	True	1	0.395	0.605	1.0
QSPRID_0681	True	1	0.382	0.618	0.0
QSPRID_0683	True	1	0.342	0.658	0.0
QSPRID_0684	False	0	0.605	0.395	0.0
QSPRID_0684	False	0	0.671	0.329	1.0
QSPRID_0685	True	1	0.355	0.645	0.0
QSPRID_0686	True	1	0.276	0.724	0.0
QSPRID_0687	True	1	0.211	0.789	0.0
QSPRID_0687	True	1	0.145	0.855	1.0
QSPRID_0688	True	0	0.566	0.434	1.0
QSPRID_0688	True	1	0.211	0.789	0.0
QSPRID_0689	False	0	0.763	0.237	1.0
QSPRID_0689	False	0	0.763	0.237	0.0
QSPRID_0690	True	0	0.553	0.447	1.0
QSPRID_0690	True	1	0.355	0.645	0.0
QSPRID_0691	True	1	0.092	0.908	0.0
QSPRID_0692	False	1	0.276	0.724	1.0
QSPRID_0692	False	1	0.382	0.618	0.0
QSPRID_0694	True	1	0.303	0.697	0.0
QSPRID_0695	True	1	0.276	0.724	0.0
QSPRID_0696	True	1	0.447	0.553	0.0
QSPRID_0697	False	1	0.329	0.671	0.0
QSPRID_0698	False	1	0.447	0.553	0.0
QSPRID_0698	False	1	0.408	0.592	1.0
QSPRID_0699	True	1	0.316	0.684	0.0
QSPRID_0700	False	0	0.5	0.5	1.0
QSPRID_0700	False	0	0.553	0.447	0.0
QSPRID_0701	False	1	0.289	0.711	0.0
QSPRID_0701	False	1	0.382	0.618	1.0
QSPRID_0702	False	0	0.553	0.447	0.0
QSPRID_0702	False	0	0.658	0.342	1.0
QSPRID_0703	True	1	0.289	0.711	0.0
QSPRID_0704	True	1	0.421	0.579	0.0
QSPRID_0706	True	1	0.026	0.974	0.0
QSPRID_0707	False	0	0.684	0.316	0.0
QSPRID_0708	True	1	0.329	0.671	1.0
QSPRID_0708	True	1	0.316	0.684	0.0
QSPRID_0709	False	0	0.697	0.303	1.0
QSPRID_0709	False	0	0.553	0.447	0.0
QSPRID_0710	False	0	0.697	0.303	0.0
QSPRID_0711	True	1	0.355	0.645	1.0
QSPRID_0711	True	1	0.158	0.842	0.0
QSPRID_0712	True	1	0.368	0.632	0.0
QSPRID_0713	True	1	0.092	0.908	1.0
QSPRID_0713	True	1	0.026	0.974	0.0
QSPRID_0714	False	0	0.579	0.421	0.0
QSPRID_0715	True	0	0.592	0.408	0.0
QSPRID_0716	True	1	0.066	0.934	0.0
QSPRID_0719	True	1	0.237	0.763	0.0
QSPRID_0719	True	1	0.303	0.697	1.0
QSPRID_0722	True	1	0.25	0.75	0.0
QSPRID_0722	True	1	0.474	0.526	1.0
QSPRID_0723	True	1	0.053	0.947	1.0
QSPRID_0723	True	1	0.276	0.724	0.0
QSPRID_0724	True	1	0.342	0.658	1.0
QSPRID_0724	True	1	0.368	0.632	0.0
QSPRID_0725	True	1	0.092	0.908	0.0
QSPRID_0726	False	0	0.513	0.487	0.0
QSPRID_0726	False	0	0.724	0.276	1.0
QSPRID_0727	False	1	0.461	0.539	0.0
QSPRID_0728	True	1	0.487	0.513	0.0
QSPRID_0730	False	0	0.566	0.434	0.0
QSPRID_0732	True	1	0.0	1.0	0.0
QSPRID_0734	True	0	0.592	0.408	0.0
QSPRID_0735	True	0	0.618	0.382	0.0
QSPRID_0735	True	1	0.25	0.75	1.0
QSPRID_0736	True	0	0.553	0.447	0.0
QSPRID_0737	False	0	0.513	0.487	0.0
QSPRID_0738	True	1	0.329	0.671	1.0
QSPRID_0738	True	1	0.382	0.618	0.0
QSPRID_0739	False	0	0.592	0.408	0.0
QSPRID_0740	True	1	0.329	0.671	0.0
QSPRID_0740	True	1	0.461	0.539	1.0
QSPRID_0741	True	1	0.25	0.75	0.0
QSPRID_0742	True	1	0.408	0.592	0.0
QSPRID_0743	True	1	0.276	0.724	0.0
QSPRID_0745	False	1	0.329	0.671	0.0
QSPRID_0748	False	1	0.329	0.671	0.0
QSPRID_0749	True	1	0.237	0.763	0.0
QSPRID_0750	False	0	0.605	0.395	1.0
QSPRID_0750	False	1	0.316	0.684	0.0
QSPRID_0753	True	1	0.487	0.513	0.0
QSPRID_0754	False	0	0.513	0.487	0.0
QSPRID_0754	False	0	0.724	0.276	1.0
QSPRID_0756	False	0	0.803	0.197	1.0
QSPRID_0756	False	0	0.592	0.408	0.0
QSPRID_0757	False	1	0.474	0.526	1.0
QSPRID_0757	False	1	0.224	0.776	2.0
QSPRID_0757	False	0	0.579	0.421	0.0
QSPRID_0758	False	1	0.355	0.645	0.0
QSPRID_0759	True	1	0.171	0.829	0.0
QSPRID_0759	True	1	0.421	0.579	1.0
QSPRID_0760	False	0	0.618	0.382	0.0
QSPRID_0763	False	0	0.539	0.461	0.0
QSPRID_0765	True	1	0.368	0.632	0.0
QSPRID_0766	True	1	0.447	0.553	0.0
QSPRID_0767	True	0	0.566	0.434	0.0
QSPRID_0767	True	1	0.395	0.605	1.0
QSPRID_0768	True	0	0.592	0.408	1.0
QSPRID_0768	True	1	0.263	0.737	0.0
QSPRID_0769	False	0	0.553	0.447	1.0
QSPRID_0769	False	1	0.382	0.618	0.0
QSPRID_0770	True	1	0.382	0.618	0.0
QSPRID_0771	False	1	0.355	0.645	0.0
QSPRID_0772	False	1	0.026	0.974	0.0
QSPRID_0773	True	1	0.329	0.671	0.0
QSPRID_0774	True	1	0.158	0.842	0.0
QSPRID_0774	True	1	0.368	0.632	1.0
QSPRID_0775	True	1	0.408	0.592	0.0
QSPRID_0775	True	1	0.355	0.645	1.0
QSPRID_0777	True	0	0.5	0.5	0.0
QSPRID_0778	False	0	0.816	0.184	1.0
QSPRID_0778	False	1	0.474	0.526	0.0
QSPRID_0779	True	1	0.289	0.711	0.0
QSPRID_0780	True	1	0.421	0.579	0.0
QSPRID_0781	True	1	0.408	0.592	1.0
QSPRID_0781	True	1	0.342	0.658	0.0
QSPRID_0782	True	1	0.25	0.75	0.0
QSPRID_0783	False	0	0.934	0.066	1.0
QSPRID_0783	False	0	0.553	0.447	0.0
QSPRID_0784	True	1	0.224	0.776	0.0
QSPRID_0786	True	1	0.434	0.566	0.0
QSPRID_0788	True	1	0.118	0.882	1.0
QSPRID_0788	True	1	0.237	0.763	0.0
QSPRID_0789	False	1	0.395	0.605	0.0
QSPRID_0791	True	1	0.434	0.566	1.0
QSPRID_0791	True	1	0.263	0.737	0.0
QSPRID_0792	False	0	0.645	0.355	0.0
QSPRID_0793	True	1	0.289	0.711	0.0
QSPRID_0794	True	1	0.382	0.618	0.0
QSPRID_0795	True	0	0.776	0.224	0.0
QSPRID_0796	False	1	0.382	0.618	0.0
QSPRID_0796	False	0	0.684	0.316	1.0
QSPRID_0797	False	1	0.408	0.592	0.0
QSPRID_0799	False	1	0.487	0.513	0.0
QSPRID_0799	False	0	0.737	0.263	1.0
QSPRID_0800	True	1	0.368	0.632	0.0
QSPRID_0800	True	0	0.632	0.368	1.0
QSPRID_0804	False	1	0.184	0.816	0.0
QSPRID_0805	False	0	0.579	0.421	1.0
QSPRID_0805	False	1	0.303	0.697	0.0
QSPRID_0806	False	1	0.395	0.605	0.0
QSPRID_0808	False	0	0.592	0.408	0.0
QSPRID_0813	False	1	0.395	0.605	0.0
QSPRID_0814	True	1	0.211	0.789	1.0
QSPRID_0814	True	1	0.342	0.658	0.0
QSPRID_0815	True	1	0.276	0.724	0.0
QSPRID_0815	True	1	0.395	0.605	1.0
QSPRID_0819	True	1	0.289	0.711	0.0
QSPRID_0819	True	1	0.066	0.934	1.0
QSPRID_0820	True	1	0.263	0.737	0.0
QSPRID_0821	False	1	0.355	0.645	0.0
QSPRID_0822	False	0	0.908	0.092	0.0
QSPRID_0823	True	0	0.5	0.5	1.0
QSPRID_0823	True	1	0.421	0.579	0.0
QSPRID_0824	False	1	0.303	0.697	0.0
QSPRID_0825	False	1	0.368	0.632	0.0
QSPRID_0826	True	1	0.039	0.961	0.0
QSPRID_0826	True	1	0.0	1.0	1.0
QSPRID_0827	False	1	0.461	0.539	0.0
QSPRID_0828	True	0	0.553	0.447	1.0
QSPRID_0828	True	1	0.289	0.711	0.0
QSPRID_0830	False	1	0.316	0.684	0.0
QSPRID_0830	False	0	0.553	0.447	1.0
QSPRID_0832	True	1	0.303	0.697	0.0
QSPRID_0832	True	0	0.513	0.487	1.0
QSPRID_0833	True	0	0.5	0.5	0.0
QSPRID_0834	False	1	0.408	0.592	0.0
QSPRID_0835	False	0	0.763	0.237	1.0
QSPRID_0835	False	1	0.434	0.566	0.0
QSPRID_0836	False	0	0.855	0.145	0.0
QSPRID_0836	False	0	0.974	0.026	1.0
QSPRID_0837	True	1	0.447	0.553	1.0
QSPRID_0837	True	1	0.421	0.579	0.0
QSPRID_0840	False	1	0.342	0.658	0.0
QSPRID_0841	True	1	0.25	0.75	0.0
QSPRID_0844	False	0	0.829	0.171	0.0
QSPRID_0844	False	0	0.855	0.145	1.0
QSPRID_0845	True	1	0.184	0.816	0.0
QSPRID_0845	True	1	0.368	0.632	1.0
QSPRID_0846	True	1	0.276	0.724	0.0
QSPRID_0847	True	1	0.382	0.618	0.0
QSPRID_0848	True	0	0.553	0.447	0.0
QSPRID_0848	True	1	0.184	0.816	1.0
QSPRID_0849	False	1	0.079	0.921	1.0
QSPRID_0849	False	1	0.224	0.776	0.0
QSPRID_0850	True	1	0.421	0.579	0.0
QSPRID_0850	True	1	0.487	0.513	1.0
QSPRID_0851	True	1	0.316	0.684	0.0
QSPRID_0852	True	1	0.303	0.697	0.0
QSPRID_0852	True	1	0.474	0.526	1.0
QSPRID_0853	True	1	0.289	0.711	0.0
QSPRID_0854	True	1	0.447	0.553	1.0
QSPRID_0854	True	1	0.368	0.632	0.0
QSPRID_0855	True	1	0.355	0.645	0.0
QSPRID_0856	False	1	0.105	0.895	1.0
QSPRID_0856	False	1	0.197	0.803	0.0
QSPRID_0858	False	0	0.829	0.171	0.0
QSPRID_0859	False	0	1.0	0.0	1.0
QSPRID_0859	False	0	0.671	0.329	0.0
QSPRID_0860	True	1	0.237	0.763	0.0
QSPRID_0860	True	0	0.526	0.474	1.0
QSPRID_0861	False	1	0.395	0.605	0.0
QSPRID_0863	False	0	0.658	0.342	0.0
QSPRID_0866	True	1	0.447	0.553	1.0
QSPRID_0866	True	1	0.434	0.566	0.0
QSPRID_0867	False	0	0.737	0.263	0.0
QSPRID_0867	False	0	0.829	0.171	1.0
QSPRID_0868	True	0	0.605	0.395	0.0
QSPRID_0870	False	0	0.724	0.276	1.0
QSPRID_0870	False	0	0.566	0.434	0.0
QSPRID_0872	False	0	0.618	0.382	0.0
QSPRID_0872	False	0	0.605	0.395	1.0
QSPRID_0873	True	1	0.079	0.921	0.0
QSPRID_0873	True	1	0.158	0.842	1.0
QSPRID_0874	False	1	0.329	0.671	0.0
QSPRID_0875	False	1	0.316	0.684	0.0
QSPRID_0876	False	0	0.632	0.368	0.0
QSPRID_0876	False	0	0.75	0.25	1.0
QSPRID_0877	True	1	0.224	0.776	0.0
QSPRID_0878	False	1	0.487	0.513	0.0
QSPRID_0878	False	0	0.553	0.447	1.0
QSPRID_0880	False	1	0.184	0.816	1.0
QSPRID_0880	False	1	0.263	0.737	0.0
QSPRID_0882	False	0	0.553	0.447	0.0
QSPRID_0882	False	0	0.842	0.158	1.0
QSPRID_0883	False	1	0.447	0.553	0.0
QSPRID_0883	False	0	0.632	0.368	1.0
QSPRID_0884	True	1	0.197	0.803	0.0
QSPRID_0885	False	0	0.645	0.355	1.0
QSPRID_0885	False	1	0.447	0.553	0.0
QSPRID_0886	True	1	0.395	0.605	1.0
QSPRID_0886	True	1	0.145	0.855	0.0
QSPRID_0887	False	1	0.342	0.658	0.0
QSPRID_0890	False	1	0.355	0.645	0.0
QSPRID_0890	False	1	0.395	0.605	1.0
QSPRID_0891	True	1	0.447	0.553	0.0
QSPRID_0892	True	0	0.671	0.329	0.0
QSPRID_0894	True	1	0.316	0.684	0.0
QSPRID_0894	True	1	0.303	0.697	1.0
QSPRID_0895	False	0	0.5	0.5	0.0
QSPRID_0896	True	1	0.237	0.763	1.0
QSPRID_0896	True	1	0.276	0.724	0.0
QSPRID_0898	False	1	0.447	0.553	1.0
QSPRID_0898	False	1	0.263	0.737	0.0
QSPRID_0899	False	1	0.289	0.711	0.0
QSPRID_0900	False	0	0.961	0.039	0.0
QSPRID_0901	True	1	0.289	0.711	0.0
QSPRID_0902	False	1	0.395	0.605	0.0
QSPRID_0902	False	1	0.329	0.671	1.0
QSPRID_0904	False	0	0.526	0.474	0.0
QSPRID_0905	True	1	0.368	0.632	0.0
QSPRID_0906	True	1	0.25	0.75	0.0
QSPRID_0906	True	1	0.224	0.776	1.0
QSPRID_0908	True	1	0.474	0.526	0.0
QSPRID_0909	True	0	0.645	0.355	0.0
QSPRID_0911	True	1	0.447	0.553	0.0
QSPRID_0911	True	1	0.355	0.645	1.0
QSPRID_0913	False	0	0.632	0.368	1.0
QSPRID_0913	False	1	0.487	0.513	0.0
QSPRID_0914	False	0	0.658	0.342	1.0
QSPRID_0914	False	1	0.368	0.632	0.0
QSPRID_0915	True	1	0.105	0.895	0.0
QSPRID_0916	False	0	0.803	0.197	1.0
QSPRID_0916	False	0	0.566	0.434	0.0
QSPRID_0917	True	1	0.368	0.632	0.0
QSPRID_0917	True	1	0.434	0.566	1.0
QSPRID_0918	False	0	0.855	0.145	0.0
QSPRID_0919	True	1	0.263	0.737	0.0
QSPRID_0919	True	1	0.197	0.803	1.0
QSPRID_0920	True	1	0.421	0.579	0.0
QSPRID_0921	True	1	0.368	0.632	0.0
QSPRID_0922	True	1	0.263	0.737	0.0
QSPRID_0923	True	1	0.263	0.737	0.0
QSPRID_0923	True	0	0.566	0.434	1.0
QSPRID_0924	True	1	0.263	0.737	0.0
QSPRID_0924	True	0	0.592	0.408	1.0
QSPRID_0925	True	1	0.355	0.645	0.0
QSPRID_0926	False	1	0.316	0.684	0.0
QSPRID_0927	True	0	0.645	0.355	0.0
QSPRID_0928	False	1	0.447	0.553	1.0
QSPRID_0928	False	1	0.421	0.579	0.0
QSPRID_0929	False	0	0.513	0.487	1.0
QSPRID_0929	False	1	0.382	0.618	0.0
QSPRID_0930	False	1	0.421	0.579	1.0
QSPRID_0930	False	1	0.263	0.737	0.0
QSPRID_0931	False	0	0.592	0.408	0.0
QSPRID_0933	False	0	0.553	0.447	0.0
QSPRID_0934	True	1	0.355	0.645	0.0
QSPRID_0934	True	1	0.184	0.816	1.0
QSPRID_0935	True	1	0.461	0.539	0.0
QSPRID_0936	False	1	0.303	0.697	0.0
QSPRID_0938	False	0	0.632	0.368	1.0
QSPRID_0938	False	1	0.461	0.539	0.0
QSPRID_0939	False	1	0.395	0.605	0.0
QSPRID_0940	False	1	0.237	0.763	0.0
QSPRID_0941	False	1	0.382	0.618	0.0
QSPRID_0942	False	0	0.526	0.474	0.0
QSPRID_0943	True	1	0.329	0.671	1.0
QSPRID_0943	True	1	0.421	0.579	0.0
QSPRID_0944	False	0	0.618	0.382	1.0
QSPRID_0944	False	0	0.632	0.368	0.0
QSPRID_0945	True	1	0.368	0.632	1.0
QSPRID_0945	True	1	0.382	0.618	0.0
QSPRID_0946	False	1	0.408	0.592	0.0
QSPRID_0950	True	1	0.053	0.947	0.0
QSPRID_0951	False	1	0.316	0.684	0.0
QSPRID_0953	True	1	0.039	0.961	0.0
QSPRID_0954	True	1	0.276	0.724	0.0
QSPRID_0955	True	1	0.224	0.776	0.0
QSPRID_0956	True	0	0.539	0.461	0.0
QSPRID_0957	False	1	0.342	0.658	0.0
QSPRID_0957	False	0	0.868	0.132	1.0
QSPRID_0958	True	1	0.303	0.697	0.0
QSPRID_0958	True	0	0.526	0.474	1.0
QSPRID_0959	True	0	0.605	0.395	0.0
QSPRID_0960	False	0	0.539	0.461	0.0
QSPRID_0961	False	0	0.553	0.447	0.0
QSPRID_0962	True	1	0.25	0.75	0.0
QSPRID_0962	True	1	0.434	0.566	1.0
QSPRID_0963	False	1	0.368	0.632	0.0
QSPRID_0963	False	1	0.382	0.618	1.0
QSPRID_0964	False	1	0.118	0.882	1.0
QSPRID_0964	False	1	0.434	0.566	0.0
QSPRID_0965	False	1	0.421	0.579	0.0
QSPRID_0966	True	0	0.553	0.447	0.0
QSPRID_0966	True	1	0.132	0.868	1.0
QSPRID_0967	True	0	0.816	0.184	0.0
QSPRID_0968	True	1	0.461	0.539	0.0
QSPRID_0968	True	1	0.276	0.724	1.0
QSPRID_0970	True	0	0.671	0.329	0.0
QSPRID_0971	True	0	0.513	0.487	0.0
QSPRID_0972	False	1	0.303	0.697	0.0
QSPRID_0972	False	0	0.539	0.461	1.0
QSPRID_0973	True	0	0.618	0.382	0.0
QSPRID_0975	True	1	0.447	0.553	0.0
QSPRID_0976	False	0	0.658	0.342	0.0
QSPRID_0977	True	1	0.316	0.684	0.0
QSPRID_0977	True	1	0.434	0.566	1.0
QSPRID_0979	False	0	0.553	0.447	0.0
QSPRID_0981	False	0	0.566	0.434	0.0
QSPRID_0982	True	1	0.013	0.987	1.0
QSPRID_0982	True	1	0.013	0.987	0.0
QSPRID_0983	True	1	0.171	0.829	0.0
QSPRID_0983	True	1	0.105	0.895	1.0
QSPRID_0984	True	1	0.421	0.579	1.0
QSPRID_0984	True	1	0.461	0.539	0.0
QSPRID_0985	False	1	0.408	0.592	0.0
