QSPRID	pchembl_value_Median_class_Label	pchembl_value_Median_class_Prediction	pchembl_value_Median_class_ProbabilityClass_0	pchembl_value_Median_class_ProbabilityClass_1
A2A_LIGANDS_2705	True	1	0.125	0.875
A2A_LIGANDS_2708	True	1	0.115	0.885
A2A_LIGANDS_2713	False	1	0.305	0.695
A2A_LIGANDS_2715	True	1	0.1	0.9
A2A_LIGANDS_2716	True	1	0.105	0.895
A2A_LIGANDS_2726	False	1	0.365	0.635
A2A_LIGANDS_2735	True	1	0.03	0.97
A2A_LIGANDS_2742	True	1	0.135	0.865
A2A_LIGANDS_2747	False	0	0.925	0.075
A2A_LIGANDS_2748	True	1	0.015	0.985
A2A_LIGANDS_2755	False	0	0.6	0.4
A2A_LIGANDS_2763	True	1	0.11	0.89
A2A_LIGANDS_2770	True	1	0.33	0.67
A2A_LIGANDS_2778	False	1	0.475	0.525
A2A_LIGANDS_2779	False	0	0.945	0.055
A2A_LIGANDS_2783	True	1	0.135	0.865
A2A_LIGANDS_2792	True	1	0.235	0.765
A2A_LIGANDS_2797	True	1	0.31	0.69
A2A_LIGANDS_2798	True	0	0.565	0.435
A2A_LIGANDS_2800	False	1	0.41	0.59
A2A_LIGANDS_2803	True	1	0.36	0.64
A2A_LIGANDS_2823	False	0	0.76	0.24
A2A_LIGANDS_2827	True	1	0.405	0.595
A2A_LIGANDS_2828	True	1	0.225	0.775
A2A_LIGANDS_2831	False	1	0.43	0.57
A2A_LIGANDS_2839	True	1	0.12	0.88
A2A_LIGANDS_2851	True	1	0.06	0.94
A2A_LIGANDS_2852	True	1	0.06	0.94
A2A_LIGANDS_2857	False	0	0.725	0.275
A2A_LIGANDS_2860	False	0	0.835	0.165
A2A_LIGANDS_2869	False	0	0.89	0.11
A2A_LIGANDS_2871	True	1	0.36	0.64
A2A_LIGANDS_2882	True	1	0.0	1.0
A2A_LIGANDS_2883	False	0	0.515	0.485
A2A_LIGANDS_2887	True	1	0.405	0.595
A2A_LIGANDS_2894	True	0	0.715	0.285
A2A_LIGANDS_2899	True	1	0.025	0.975
A2A_LIGANDS_2901	True	1	0.165	0.835
A2A_LIGANDS_2902	False	0	0.925	0.075
A2A_LIGANDS_2904	False	0	0.525	0.475
A2A_LIGANDS_2910	False	0	0.945	0.055
A2A_LIGANDS_2913	True	1	0.07	0.93
A2A_LIGANDS_2914	False	0	0.515	0.485
A2A_LIGANDS_2918	True	1	0.165	0.835
A2A_LIGANDS_2919	True	1	0.255	0.745
A2A_LIGANDS_2935	True	1	0.3	0.7
A2A_LIGANDS_2937	True	1	0.07	0.93
A2A_LIGANDS_2941	True	1	0.09	0.91
A2A_LIGANDS_2947	False	1	0.325	0.675
A2A_LIGANDS_2965	False	0	0.85	0.15
A2A_LIGANDS_2966	True	1	0.075	0.925
A2A_LIGANDS_2967	True	1	0.19	0.81
A2A_LIGANDS_2975	False	0	0.915	0.085
A2A_LIGANDS_2976	True	1	0.16	0.84
A2A_LIGANDS_2977	True	1	0.49	0.51
A2A_LIGANDS_2979	True	1	0.125	0.875
A2A_LIGANDS_2991	True	0	0.62	0.38
A2A_LIGANDS_2993	True	1	0.185	0.815
A2A_LIGANDS_2996	False	0	0.525	0.475
A2A_LIGANDS_2998	False	0	0.78	0.22
A2A_LIGANDS_2999	True	0	0.84	0.16
A2A_LIGANDS_3002	True	1	0.185	0.815
A2A_LIGANDS_3003	False	1	0.485	0.515
A2A_LIGANDS_3010	True	1	0.25	0.75
A2A_LIGANDS_3011	True	1	0.025	0.975
A2A_LIGANDS_3013	True	0	0.555	0.445
A2A_LIGANDS_3015	True	1	0.035	0.965
A2A_LIGANDS_3016	False	1	0.415	0.585
A2A_LIGANDS_3031	False	0	0.705	0.295
A2A_LIGANDS_3033	True	1	0.025	0.975
A2A_LIGANDS_3039	True	1	0.12	0.88
A2A_LIGANDS_3040	True	1	0.005	0.995
A2A_LIGANDS_3043	True	0	0.685	0.315
A2A_LIGANDS_3044	False	1	0.39	0.61
A2A_LIGANDS_3060	False	1	0.465	0.535
A2A_LIGANDS_3064	False	0	0.81	0.19
A2A_LIGANDS_3082	False	0	0.675	0.325
A2A_LIGANDS_3087	True	1	0.025	0.975
A2A_LIGANDS_3088	False	0	0.58	0.42
A2A_LIGANDS_3095	True	0	0.915	0.085
A2A_LIGANDS_3096	True	1	0.015	0.985
A2A_LIGANDS_3097	True	1	0.21	0.79
A2A_LIGANDS_3109	False	0	0.895	0.105
A2A_LIGANDS_3110	True	1	0.272	0.728
A2A_LIGANDS_3124	True	1	0.12	0.88
A2A_LIGANDS_3133	True	1	0.44	0.56
A2A_LIGANDS_3134	True	1	0.155	0.845
A2A_LIGANDS_3138	True	1	0.205	0.795
A2A_LIGANDS_3140	True	1	0.01	0.99
A2A_LIGANDS_3147	True	1	0.41	0.59
A2A_LIGANDS_3151	True	1	0.18	0.82
A2A_LIGANDS_3153	False	0	0.83	0.17
A2A_LIGANDS_3158	False	1	0.438	0.562
A2A_LIGANDS_3176	False	0	0.615	0.385
A2A_LIGANDS_3180	True	1	0.135	0.865
A2A_LIGANDS_3181	False	1	0.41	0.59
A2A_LIGANDS_3182	False	0	0.875	0.125
A2A_LIGANDS_3185	True	1	0.005	0.995
A2A_LIGANDS_3186	True	1	0.175	0.825
A2A_LIGANDS_3192	True	1	0.47	0.53
A2A_LIGANDS_3205	True	1	0.275	0.725
A2A_LIGANDS_3216	True	0	0.525	0.475
A2A_LIGANDS_3224	True	1	0.035	0.965
A2A_LIGANDS_3233	True	1	0.11	0.89
A2A_LIGANDS_3235	False	0	0.835	0.165
A2A_LIGANDS_3238	False	1	0.055	0.945
A2A_LIGANDS_3239	False	0	0.795	0.205
A2A_LIGANDS_3243	False	1	0.455	0.545
A2A_LIGANDS_3246	False	1	0.385	0.615
A2A_LIGANDS_3247	True	1	0.285	0.715
A2A_LIGANDS_3251	False	1	0.235	0.765
A2A_LIGANDS_3258	False	1	0.17	0.83
A2A_LIGANDS_3259	True	1	0.485	0.515
A2A_LIGANDS_3262	False	0	0.585	0.415
A2A_LIGANDS_3276	True	0	0.742	0.258
A2A_LIGANDS_3277	False	1	0.485	0.515
A2A_LIGANDS_3282	True	1	0.47	0.53
A2A_LIGANDS_3283	False	0	0.935	0.065
A2A_LIGANDS_3285	True	1	0.405	0.595
A2A_LIGANDS_3287	False	1	0.03	0.97
A2A_LIGANDS_3288	True	1	0.18	0.82
A2A_LIGANDS_3290	False	0	0.915	0.085
A2A_LIGANDS_3295	False	1	0.385	0.615
A2A_LIGANDS_3299	True	1	0.015	0.985
A2A_LIGANDS_3300	True	1	0.365	0.635
A2A_LIGANDS_3303	False	0	0.745	0.255
A2A_LIGANDS_3307	True	1	0.07	0.93
A2A_LIGANDS_3312	True	1	0.1	0.9
A2A_LIGANDS_3314	True	1	0.105	0.895
A2A_LIGANDS_3323	False	0	0.805	0.195
A2A_LIGANDS_3324	True	1	0.13	0.87
A2A_LIGANDS_3325	False	1	0.488	0.512
A2A_LIGANDS_3332	False	0	0.76	0.24
A2A_LIGANDS_3333	False	1	0.445	0.555
A2A_LIGANDS_3334	True	1	0.335	0.665
A2A_LIGANDS_3340	False	1	0.34	0.66
A2A_LIGANDS_3368	False	0	0.945	0.055
A2A_LIGANDS_3375	False	0	0.955	0.045
A2A_LIGANDS_3379	False	1	0.205	0.795
A2A_LIGANDS_3380	True	0	0.685	0.315
A2A_LIGANDS_3381	False	0	0.785	0.215
A2A_LIGANDS_3387	False	0	0.84	0.16
A2A_LIGANDS_3392	True	1	0.38	0.62
A2A_LIGANDS_3402	True	1	0.278	0.722
A2A_LIGANDS_3405	False	0	0.775	0.225
A2A_LIGANDS_3410	True	1	0.09	0.91
A2A_LIGANDS_3415	False	1	0.315	0.685
A2A_LIGANDS_3426	True	0	0.665	0.335
A2A_LIGANDS_3427	True	1	0.13	0.87
A2A_LIGANDS_3432	False	0	0.59	0.41
A2A_LIGANDS_3436	False	1	0.445	0.555
A2A_LIGANDS_3443	True	1	0.31	0.69
A2A_LIGANDS_3447	True	0	0.535	0.465
A2A_LIGANDS_3456	False	1	0.195	0.805
A2A_LIGANDS_3459	False	0	0.565	0.435
A2A_LIGANDS_3462	True	1	0.115	0.885
A2A_LIGANDS_3465	True	1	0.045	0.955
A2A_LIGANDS_3467	True	1	0.032	0.968
A2A_LIGANDS_3472	True	1	0.21	0.79
A2A_LIGANDS_3473	True	1	0.065	0.935
A2A_LIGANDS_3479	True	1	0.415	0.585
A2A_LIGANDS_3483	True	1	0.125	0.875
A2A_LIGANDS_3489	True	1	0.305	0.695
A2A_LIGANDS_3497	False	1	0.33	0.67
A2A_LIGANDS_3507	True	1	0.235	0.765
A2A_LIGANDS_3517	True	0	0.6	0.4
A2A_LIGANDS_3518	True	1	0.01	0.99
A2A_LIGANDS_3527	True	1	0.04	0.96
A2A_LIGANDS_3529	True	1	0.305	0.695
A2A_LIGANDS_3536	False	0	0.925	0.075
A2A_LIGANDS_3538	False	1	0.05	0.95
A2A_LIGANDS_3539	False	1	0.465	0.535
A2A_LIGANDS_3546	True	0	0.505	0.495
A2A_LIGANDS_3553	True	1	0.22	0.78
A2A_LIGANDS_3556	True	1	0.405	0.595
A2A_LIGANDS_3560	True	1	0.035	0.965
A2A_LIGANDS_3565	True	1	0.02	0.98
A2A_LIGANDS_3566	False	1	0.295	0.705
A2A_LIGANDS_3569	True	1	0.46	0.54
A2A_LIGANDS_3571	True	1	0.285	0.715
A2A_LIGANDS_3577	True	1	0.025	0.975
A2A_LIGANDS_3587	True	1	0.04	0.96
A2A_LIGANDS_3592	False	0	0.54	0.46
A2A_LIGANDS_3599	True	1	0.035	0.965
A2A_LIGANDS_3600	True	1	0.195	0.805
A2A_LIGANDS_3603	True	1	0.065	0.935
A2A_LIGANDS_3605	True	1	0.135	0.865
A2A_LIGANDS_3607	True	1	0.33	0.67
A2A_LIGANDS_3608	False	0	0.68	0.32
A2A_LIGANDS_3610	True	1	0.06	0.94
A2A_LIGANDS_3611	True	1	0.03	0.97
A2A_LIGANDS_3612	False	0	0.975	0.025
A2A_LIGANDS_3613	True	1	0.19	0.81
A2A_LIGANDS_3615	True	1	0.085	0.915
A2A_LIGANDS_3617	True	1	0.03	0.97
A2A_LIGANDS_3622	False	0	0.56	0.44
A2A_LIGANDS_3635	True	1	0.135	0.865
A2A_LIGANDS_3641	True	1	0.005	0.995
A2A_LIGANDS_3651	True	1	0.005	0.995
A2A_LIGANDS_3658	True	1	0.03	0.97
A2A_LIGANDS_3664	False	0	0.709	0.291
A2A_LIGANDS_3673	True	1	0.355	0.645
A2A_LIGANDS_3677	True	1	0.055	0.945
A2A_LIGANDS_3680	False	1	0.365	0.635
A2A_LIGANDS_3684	False	1	0.23	0.77
A2A_LIGANDS_3690	False	1	0.415	0.585
A2A_LIGANDS_3692	True	1	0.032	0.968
A2A_LIGANDS_3697	False	0	0.757	0.243
A2A_LIGANDS_3704	True	1	0.145	0.855
A2A_LIGANDS_3711	False	0	0.555	0.445
A2A_LIGANDS_3713	True	1	0.075	0.925
A2A_LIGANDS_3719	True	1	0.165	0.835
A2A_LIGANDS_3724	True	1	0.28	0.72
A2A_LIGANDS_3726	True	1	0.125	0.875
A2A_LIGANDS_3727	True	1	0.325	0.675
A2A_LIGANDS_3728	False	1	0.45	0.55
A2A_LIGANDS_3735	False	0	0.935	0.065
A2A_LIGANDS_3737	True	1	0.17	0.83
A2A_LIGANDS_3744	True	1	0.19	0.81
A2A_LIGANDS_3747	False	0	0.755	0.245
A2A_LIGANDS_3748	False	0	0.775	0.225
A2A_LIGANDS_3752	False	1	0.25	0.75
A2A_LIGANDS_3753	False	0	0.91	0.09
A2A_LIGANDS_3754	True	1	0.24	0.76
A2A_LIGANDS_3758	True	1	0.045	0.955
A2A_LIGANDS_3768	True	1	0.015	0.985
A2A_LIGANDS_3778	False	1	0.22	0.78
A2A_LIGANDS_3789	True	1	0.16	0.84
A2A_LIGANDS_3790	True	1	0.29	0.71
A2A_LIGANDS_3798	False	0	0.585	0.415
A2A_LIGANDS_3799	True	1	0.315	0.685
A2A_LIGANDS_3807	True	1	0.1	0.9
A2A_LIGANDS_3810	False	0	0.945	0.055
A2A_LIGANDS_3811	True	1	0.075	0.925
A2A_LIGANDS_3812	True	1	0.085	0.915
A2A_LIGANDS_3816	False	1	0.445	0.555
A2A_LIGANDS_3818	False	0	0.59	0.41
A2A_LIGANDS_3824	False	1	0.355	0.645
A2A_LIGANDS_3836	True	1	0.07	0.93
A2A_LIGANDS_3841	True	0	0.605	0.395
A2A_LIGANDS_3843	False	0	0.9	0.1
A2A_LIGANDS_3846	True	1	0.165	0.835
A2A_LIGANDS_3847	False	0	0.84	0.16
A2A_LIGANDS_3850	True	0	0.8	0.2
A2A_LIGANDS_3852	True	1	0.315	0.685
A2A_LIGANDS_3858	True	1	0.17	0.83
A2A_LIGANDS_3862	True	1	0.315	0.685
A2A_LIGANDS_3874	True	1	0.025	0.975
A2A_LIGANDS_3876	True	1	0.365	0.635
A2A_LIGANDS_3889	False	0	0.7	0.3
A2A_LIGANDS_3897	False	0	0.615	0.385
A2A_LIGANDS_3898	False	1	0.465	0.535
A2A_LIGANDS_3899	True	1	0.07	0.93
A2A_LIGANDS_3904	False	1	0.345	0.655
A2A_LIGANDS_3910	True	1	0.005	0.995
A2A_LIGANDS_3911	True	1	0.445	0.555
A2A_LIGANDS_3914	True	0	0.535	0.465
A2A_LIGANDS_3923	True	1	0.01	0.99
A2A_LIGANDS_3926	False	0	0.68	0.32
A2A_LIGANDS_3929	True	1	0.205	0.795
A2A_LIGANDS_3933	True	1	0.407	0.593
A2A_LIGANDS_3938	True	1	0.115	0.885
A2A_LIGANDS_3940	False	0	0.98	0.02
A2A_LIGANDS_3949	False	0	0.88	0.12
A2A_LIGANDS_3954	True	1	0.275	0.725
A2A_LIGANDS_3960	True	1	0.075	0.925
A2A_LIGANDS_3962	False	1	0.13	0.87
A2A_LIGANDS_3966	True	1	0.29	0.71
A2A_LIGANDS_3969	True	1	0.015	0.985
A2A_LIGANDS_3973	True	1	0.185	0.815
A2A_LIGANDS_3986	False	0	0.93	0.07
A2A_LIGANDS_3993	True	0	0.64	0.36
A2A_LIGANDS_3999	False	0	0.665	0.335
A2A_LIGANDS_4011	False	1	0.47	0.53
A2A_LIGANDS_4017	True	1	0.205	0.795
A2A_LIGANDS_4033	False	0	0.515	0.485
A2A_LIGANDS_4040	True	1	0.11	0.89
A2A_LIGANDS_4045	True	1	0.005	0.995
A2A_LIGANDS_4047	True	1	0.115	0.885
A2A_LIGANDS_4056	True	1	0.46	0.54
A2A_LIGANDS_4057	False	0	0.88	0.12
A2A_LIGANDS_4058	False	1	0.165	0.835
A2A_LIGANDS_4062	True	1	0.05	0.95
A2A_LIGANDS_4063	True	1	0.16	0.84
